City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,la passe,45.5549,-0.8967,9.14,79,95,4.87,FR,1738123971
138,lata,40.1629,-8.3327,10.83,76,99,4.29,PT,1738123972
139,rio de janeiro,-22.9028,-43.2075,26.0,93,0,2.68,BR,1738123973
140,lebu,-37.6167,-73.65,13.61,90,0,7.54,CL,1738123974
141,nantucket,41.2835,-70.0995,-1.59,54,100,4.62,US,1738123977
142,garachico,28.7781,-17.7646,16.06,68,100,5.14,ES,1738123978
143,naze,28.3667,129.4833,11.79,56,98,7.57,JP,1738123979
144,inhumas,-16.3578,-49.4961,19.98,95,100,0.77,BR,1738123981
145,hermanus,-34.4187,19.2345,21.0,84,40,0.96,ZA,1738123982
146,ust-nera,64.5667,143.2,-34.44,97,66,1.64,RU,1738123983
147,borskoye,53.0333,51.7167,-0.57,98,100,1.48,RU,1738123984
148,vila velha,-20.3297,-40.2925,26.08,89,40,3.58,BR,1738123985
149,virginia,37.5481,-77.4467,8.52,46,20,4.63,US,1738123987
150,tabou,4.423,-7.3528,25.52,84,48,1.07,CI,1738123988
151,laguna,38.421,-121.4238,8.36,69,0,1.54,US,1738123989
152,luis correia,-2.8792,-41.6669,25.48,90,8,4.35,BR,1738123990
153,phan rang-thap cham,11.5667,108.9833,27.65,46,34,7.05,VN,1738123992
154,griffith,41.5284,-87.4237,5.29,60,0,5.14,US,1738123993
155,celeyke,38.0597,37.1879,-1.71,59,1,0.35,TR,1738123994
156,el granada,37.5027,-122.4694,10.19,83,100,4.12,US,1738123995
157,ancud,-41.8697,-73.8203,11.64,86,61,2.48,CL,1738123996
158,avarua,-21.2078,-159.775,29.03,79,75,4.63,CK,1738123998
159,usinsk,65.9939,57.5281,-23.42,100,87,0.76,RU,1738123999
160,murashi,59.3999,48.9615,-3.56,96,100,1.15,RU,1738124000
161,marietta,33.9526,-84.5499,7.83,62,20,3.6,US,1738124001
162,nurota,40.5614,65.6886,-1.32,85,100,1.25,UZ,1738124002
163,polyarnyy,69.1989,33.4478,-5.13,90,96,5.7,RU,1738124004
164,souillac,-20.5167,57.5167,27.21,83,20,1.54,MU,1738124005
165,crane,31.3974,-102.3501,9.33,95,100,5.13,US,1738124006
166,unye,11.4502,13.962,15.93,30,40,1.9,NG,1738124007
167,dryden,49.7833,-92.7503,-13.11,91,96,4.42,CA,1738124009
168,vila nova de paiva,40.8659,-7.7613,5.23,97,100,6.42,PT,1738124010
169,santa elena de uairen,4.6167,-61.1333,20.31,72,89,0.81,VE,1738124011
170,kamen'-na-obi,53.7884,81.3423,-15.71,97,100,1.68,RU,1738124012
171,jamestown,42.097,-79.2353,3.34,65,100,9.77,US,1738124013
172,weno,7.4515,151.8468,28.01,73,99,9.46,FM,1738124015
173,cam ranh,11.9214,109.1591,26.98,54,20,9.77,VN,1738124016
174,duncan,34.5023,-97.9578,7.94,53,100,0.0,US,1738124017
175,san julian,21.0167,-102.1667,17.3,41,100,4.15,MX,1738124018
176,kodiak,57.79,-152.4072,-7.27,58,0,0.0,US,1738124019
177,tofol,5.3248,163.0078,29.88,74,75,4.63,FM,1738124021
178,riohacha,11.5444,-72.9072,28.06,68,23,5.14,CO,1738124022
179,ypsonas,34.6884,32.9574,9.54,57,0,3.6,CY,1738124023
180,astorga,-23.2325,-51.6656,20.29,90,91,1.01,BR,1738124024
181,dingcheng,32.1272,115.0394,10.16,36,0,2.83,CN,1738124026
182,pacific grove,36.6177,-121.9166,10.79,92,40,2.68,US,1738124027
183,point pedro,9.8167,80.2333,26.54,73,80,6.38,LK,1738124028
184,ritchie,-29.038,24.6028,25.73,41,73,4.67,ZA,1738124029
185,tchintabaraden,15.8969,5.7985,16.39,21,70,5.04,NE,1738124030
186,alice springs,-23.7,133.8833,38.75,14,0,6.69,AU,1738124032
187,metlili chaamba,32.2667,3.6333,8.72,50,0,6.38,DZ,1738124033
188,remire-montjoly,4.9167,-52.2667,24.02,100,75,0.0,GF,1738124034
189,romblon,12.5751,122.2708,25.84,84,100,11.14,PH,1738124035
190,casas grandes,30.3667,-107.95,7.82,29,17,5.26,MX,1738124036
191,ola,59.5833,151.2833,-17.72,77,0,3.08,RU,1738124038
192,kafue,-15.7691,28.1814,19.02,99,100,0.96,ZM,1738124039
193,richards bay,-28.783,32.0377,22.39,87,43,1.79,ZA,1738124040
194,nemuro,43.3236,145.575,0.32,74,15,4.5,JP,1738124041
195,rocky mountain house,52.3668,-114.9188,-5.49,93,64,1.18,CA,1738124044
196,namibe,-15.1961,12.1522,23.6,81,99,1.08,AO,1738124045
197,sivagiri,9.3333,77.4333,24.45,65,100,1.96,IN,1738124046
198,visakhapatnam,17.69,83.2093,24.94,88,40,1.03,IN,1738124048
199,kaedi,16.1465,-13.5047,23.86,12,0,6.86,MR,1738124049
200,morondava,-20.2833,44.2833,27.61,83,100,8.73,MG,1738124050
